Entity,Code,Year,Fossil fuels (TWh)
Austria,AUT,1996,2.611.073
Azerbaijan,AZE,1996,127.195.816
Bangladesh,BGD,1996,11.001.724
Belarus,BLR,1996,25.709.088
Belgium,BEL,1996,5.891.822
Brazil,BRA,1996,11.228.557
Bulgaria,BGR,1996,21.063.702
Canada,CAN,1996,2139.88
Chile,CHL,1996,19.040.225
China,CHN,1996,10305.78
Colombia,COL,1996,2.306.097
Croatia,HRV,1996,7.096.239
Cyprus,CYP,1996,25.604.818
Czechia,CZE,1996,45.945.032
Denmark,DNK,1996,28.354.694
Ecuador,ECU,1996,8.915.608
Egypt,EGY,1996,42.731.876
Estonia,EST,1996,65.996.574
Finland,FIN,1996,23.831.111
France,FRA,1996,16.548.822
Germany,DEU,1996,35.781.897
Greece,GRC,1996,31.183.124
Hong Kong,HKG,1996,180.591
Hungary,HUN,1996,25.118.518
Iceland,ISL,1996,10.112.203
India,IND,1996,2.848.561
Indonesia,IDN,1996,90.040.405
Iran,IRN,1996,11.248.204
Iraq,IRQ,1996,33.262.823
Ireland,IRL,1996,13.753.915
Israel,ISR,1996,20.222.723
Italy,ITA,1996,17.994.818
Japan,JPN,1996,49.663.994
Kazakhstan,KAZ,1996,49.927.365
Kuwait,KWT,1996,1.490.201
Latvia,LVA,1996,3.596.225
Lithuania,LTU,1996,66.762.695
Luxembourg,LUX,1996,3.467.255
Malaysia,MYS,1996,4.289.441
Mexico,MEX,1996,1.319.729
Morocco,MAR,1996,10.132.674
Netherlands,NLD,1996,9.995.709
New Zealand,NZL,1996,13.165.616
North Macedonia,MKD,1996,30.766.876
Norway,NOR,1996,15.862.447
Oman,OMN,1996,6.778.353
Pakistan,PAK,1996,36.317.328
Peru,PER,1996,9.859.499
Philippines,PHL,1996,23.185.068
Poland,POL,1996,11.578.153
Portugal,PRT,1996,20.387.631
Qatar,QAT,1996,1.148.973
Romania,ROU,1996,50.088.135
Russia,RUS,1996,6.647.377
Saudi Arabia,SAU,1996,11.685.529
Singapore,SGP,1996,39.169.504
Slovakia,SVK,1996,16.678.403
Slovenia,SVN,1996,54.367.287
South Africa,ZAF,1996,1.102.259
South Korea,KOR,1996,17.222.087
Spain,ESP,1996,98.446.796
Sri Lanka,LKA,1996,3.323.902
Sweden,SWE,1996,26.305.484
Switzerland,CHE,1996,17.445.456
Taiwan,TWN,1996,69.336.676
Thailand,THA,1996,6.743.577
Trinidad and Tobago,TTO,1996,10.074.699
Turkey,TUR,1996,65.462.445
Turkmenistan,TKM,1996,15.639.493
Ukraine,UKR,1996,14.727.466
United Arab Emirates,ARE,1996,49.968.793
United Kingdom,GBR,1996,2.390.419
United States,USA,1996,21.883.338
Uzbekistan,UZB,1996,50.517.523
Venezuela,VEN,1996,54.963.763
Vietnam,VNM,1996,1.102.652
World,OWID_WRL,1996,89055.68
Algeria,DZA,1997,297.638
Argentina,ARG,1997,5.589.656
Australia,AUS,1997,11.668.212
Austria,AUT,1997,26.282.513
Azerbaijan,AZE,1997,12.109.227
Bangladesh,BGD,1997,115.764.725
Belarus,BLR,1997,26.003.897
Belgium,BEL,1997,58.493.756
Brazil,BRA,1997,11.979.347
Bulgaria,BGR,1997,19.797.133
Canada,CAN,1997,2.201.377
Chile,CHL,1997,21.948.001
China,CHN,1997,10.351.442
Colombia,COL,1997,25.152.902
Croatia,HRV,1997,7.604.705
Cyprus,CYP,1997,25.851.622
Czechia,CZE,1997,43.989.252
Denmark,DNK,1997,2.541.063
Ecuador,ECU,1997,10.089.975
Egypt,EGY,1997,4.456.936
Estonia,EST,1997,65.002.014
Finland,FIN,1997,23.165.076
France,FRA,1997,16.246.814
Germany,DEU,1997,34.967.788
Greece,GRC,1997,32.245.825
Hong Kong,HKG,1997,1.826.931
Hungary,HUN,1997,24.467.673
Iceland,ISL,1997,9.964.474
India,IND,1997,30.097.446
Indonesia,IDN,1997,9.876.079
Iran,IRN,1997,11.685.665
Iraq,IRQ,1997,39.839.508
Ireland,IRL,1997,1.435.135
Israel,ISR,1997,22.114.056
Italy,ITA,1997,18.329.872
Japan,JPN,1997,4.982.256
Kazakhstan,KAZ,1997,4.395.081
Kuwait,KWT,1997,15.505.125
Latvia,LVA,1997,33.034.386
Lithuania,LTU,1997,63.953.697
Luxembourg,LUX,1997,33.850.273
Malaysia,MYS,1997,50.311.188
Mexico,MEX,1997,13.520.336
Morocco,MAR,1997,10.519.438
Netherlands,NLD,1997,98.566.504
New Zealand,NZL,1997,14.059.766
North Macedonia,MKD,1997,2.735.233
Norway,NOR,1997,16.527.856
Oman,OMN,1997,6.971.264
Pakistan,PAK,1997,3.670.591
Peru,PER,1997,10.003.416
Philippines,PHL,1997,2.531.447
